City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,71.01,60,41,5.99,AU,1615525401
Sur,22.5667,59.5289,85.3,35,0,2.77,OM,1615525364
Saskylakh,71.9167,114.0833,-7.92,88,100,16.84,RU,1615525552
Mataura,-46.1927,168.8643,64.0,67,1,7.0,NZ,1615525552
Albany,42.6001,-73.9662,60.8,55,75,13.8,US,1615525553
Copiapó,-27.3667,-70.3333,62.6,82,90,3.44,CL,1615525553
Atuona,-9.8,-139.0333,79.86,65,44,5.99,PF,1615525553
Margate,51.3813,1.3862,43.0,77,60,5.99,GB,1615525554
Warmbad,-28.45,18.7333,71.29,32,0,8.3,NA,1615525554
Rikitea,-23.1203,-134.9692,79.43,80,15,14.03,PF,1615525554
New Norfolk,-42.7826,147.0587,84.0,53,75,12.66,AU,1615525555
Seymchan,62.8833,152.4333,6.82,76,94,8.12,RU,1615525555
Mount Gambier,-37.8333,140.7667,86.0,26,45,16.11,AU,1615525555
Necochea,-38.5473,-58.7368,51.01,86,22,1.99,AR,1615525556
Airai,-8.9266,125.4092,69.91,87,100,0.6,TL,1615525556
Aksay,47.26,39.87,8.6,72,0,13.42,RU,1615525556
Chhor,25.5167,69.7667,81.66,47,0,9.15,PK,1615525556
Huarmey,-10.0681,-78.1522,71.85,83,9,6.62,PE,1615525557
Klaksvík,62.2266,-6.589,39.2,87,75,24.16,FO,1615525557
Chegdomyn,51.1167,133.0167,27.3,78,44,5.03,RU,1615525557
Aklavik,68.2191,-135.0107,-5.8,77,100,14.97,CA,1615525558
Qaanaaq,77.484,-69.3632,2.07,61,70,4.23,GL,1615525558
Grand Forks,47.9417,-97.4337,14.0,62,1,8.05,US,1615525558
Lüderitz,-26.6481,15.1594,64.92,87,0,7.0,NA,1615525559
Ushuaia,-54.8,-68.3,37.4,87,40,11.5,AR,1615525559
Morón,-34.6534,-58.6198,75.99,81,95,1.01,AR,1615525414
Bredasdorp,-34.5322,20.0403,59.0,94,99,4.61,ZA,1615525560
Punta Arenas,-53.15,-70.9167,51.8,76,75,16.11,CL,1615525560
Thompson,55.7435,-97.8558,-18.4,76,1,4.07,CA,1615525560
Bubaque,11.2833,-15.8333,77.85,53,0,13.67,GW,1615525561
Mayo,38.8876,-76.5119,64.4,39,1,3.44,US,1615525561
Ambovombe,-25.1667,46.0833,78.78,74,0,7.36,MG,1615525561
Kaitangata,-46.2817,169.8464,64.99,64,12,5.01,NZ,1615525353
Daye,30.0833,114.95,62.15,62,24,4.0,CN,1615525562
Kuruman,-27.4524,23.4325,65.25,30,0,11.5,ZA,1615525562
Lagoa,39.05,-27.9833,55.56,68,100,12.41,PT,1615525562
Vila Velha,-20.3297,-40.2925,77.0,88,0,3.44,BR,1615525327
Nome,64.5011,-165.4064,-11.2,77,1,0.31,US,1615525563
Petrovskoye,57.0104,39.2693,-0.44,79,0,11.21,RU,1615525563
Kavaratti,10.5669,72.642,83.48,70,40,10.2,IN,1615525564
Cape Town,-33.9258,18.4232,62.01,63,0,11.5,ZA,1615525564
Bolobo,-2.1667,16.2333,74.07,92,100,1.03,CD,1615525564
Bluff,-46.6,168.3333,64.0,67,25,7.0,NZ,1615525565
Hong Kong,22.2855,114.1577,77.0,69,20,9.22,HK,1615525565
Mar del Plata,-38.0023,-57.5575,64.99,77,0,5.75,AR,1615525565
Arraial do Cabo,-22.9661,-42.0278,75.76,90,71,12.59,BR,1615525402
Upernavik,72.7868,-56.1549,-2.45,79,11,1.5,GL,1615525566
Saint-Philippe,-21.3585,55.7679,82.4,57,0,14.97,RE,1615525566
Ponta do Sol,32.6667,-17.1,55.0,69,36,1.99,PT,1615525567
Hualmay,-11.0964,-77.6139,70.5,89,5,3.42,PE,1615525355
Barrow,71.2906,-156.7887,-11.2,70,1,5.53,US,1615525456
Halifax,44.6453,-63.5724,43.0,87,55,26.46,CA,1615525513
Chui,-33.6971,-53.4616,63.39,87,5,4.85,UY,1615525568
Arrondissement de Sens,48.1667,3.3333,39.0,84,0,1.99,FR,1615525568
Torbay,47.6666,-52.7314,35.01,100,90,14.97,CA,1615525527
Domoni,-12.2569,44.5319,82.18,79,42,1.39,KM,1615525569
Chachapoyas,-6.2317,-77.869,54.07,97,91,2.13,PE,1615525569
Maceió,-9.6658,-35.7353,75.2,94,0,2.3,BR,1615525462
Faanui,-16.4833,-151.75,83.1,72,45,8.63,PF,1615525569
Cherskiy,68.75,161.3,-5.12,84,79,6.53,RU,1615525570
Yellowknife,62.456,-114.3525,6.8,72,75,11.5,CA,1615525570
East London,-33.0153,27.9116,68.0,83,75,10.36,ZA,1615525571
Alofi,-19.0595,-169.9187,82.4,69,44,5.75,NU,1615525571
Lavrentiya,65.5833,-171.0,-7.38,73,0,4.61,RU,1615525571
Port Keats,-14.25,129.55,90.99,56,25,5.32,AU,1615525572
Iqaluit,63.7506,-68.5145,-22.0,69,40,6.91,CA,1615525277
Saint-Pierre,-21.3393,55.4781,82.4,57,0,14.97,RE,1615525572
Yangi Marg`ilon,40.4272,71.7189,46.4,76,72,4.61,UZ,1615525572
Geraldton,-28.7667,114.6,82.4,51,56,17.27,AU,1615525455
Vaini,-21.2,-175.2,78.8,73,75,8.05,TO,1615525573
Qasigiannguit,68.8193,-51.1922,10.4,48,29,13.8,GL,1615525573
São Miguel do Araguaia,-13.275,-50.1628,71.19,97,100,5.57,BR,1615525573
Ancud,-41.8697,-73.8203,55.0,100,90,2.3,CL,1615525574
Grand-Lahou,5.1367,-5.0242,76.05,91,100,12.35,CI,1615525574
Velika Kladuša,45.1894,15.8117,50.0,66,90,8.34,BA,1615525574
Hutchinson,38.0608,-97.9298,45.0,49,20,9.22,US,1615525504
Ilulissat,69.2167,-51.1,10.4,48,2,13.8,GL,1615525575
Katsuura,35.1333,140.3,61.0,66,100,3.0,JP,1615525575
Puerto Ayora,-0.7393,-90.3518,75.99,94,90,1.01,EC,1615525575
Jamestown,42.097,-79.2353,46.0,70,90,10.74,US,1615525576
Komoro,36.3167,138.4333,54.0,38,100,0.47,JP,1615525576
Grindavik,63.8424,-22.4338,33.8,80,75,24.16,IS,1615525578
Tafalla,42.5269,-1.6745,46.4,93,75,4.83,ES,1615525588
Hobart,-42.8794,147.3294,84.0,53,75,12.66,AU,1615525592
Ambilobe,-13.2,49.05,78.93,85,67,1.16,MG,1615525596
Knysna,-34.0363,23.0471,59.0,94,0,4.61,ZA,1615525599
George Town,5.4112,100.3354,91.4,62,20,5.75,MY,1615525558
Laguna,38.421,-121.4238,50.0,76,1,4.61,US,1615525613
Vangaindrano,-23.35,47.6,77.92,81,58,3.76,MG,1615525389
Hithadhoo,-0.6,73.0833,83.03,65,33,5.21,MV,1615525617
Port Alfred,-33.5906,26.891,69.01,86,98,1.99,ZA,1615525619
Butaritari,3.0707,172.7902,81.63,77,0,12.62,KI,1615525623
Melbourne,28.0836,-80.6081,68.0,68,1,10.36,US,1615525586
Gold Coast,-28.0,153.4333,77.0,73,90,12.66,AU,1615525514
Turukhansk,65.8167,87.9833,-11.25,82,86,3.65,RU,1615525647
Bethel,41.3712,-73.414,60.8,41,1,9.22,US,1615525651
Udachny,66.4167,112.4,1.69,86,100,2.98,RU,1615525351
Lālmohan,22.3384,90.7419,85.53,50,0,5.12,BD,1615525653
Provideniya,64.3833,-173.3,3.2,78,75,6.71,RU,1615525653
Kumul,42.8,93.45,61.23,18,77,10.98,CN,1615525654
Alice Springs,-23.7,133.8833,95.0,31,75,6.91,AU,1615525654
Carnarvon,-24.8667,113.6333,89.6,48,0,19.57,AU,1615525654
Lichuan,30.3,108.85,59.7,66,97,4.63,CN,1615525514
Amazar,53.858,120.875,33.58,87,0,7.74,RU,1615525655
Nikolskoye,59.7035,30.7861,21.2,63,40,13.42,RU,1615525595
Beloha,-25.1667,45.05,78.75,73,1,4.79,MG,1615525655
Hilo,19.7297,-155.09,73.4,88,90,3.44,US,1615525409
Port Elizabeth,-33.918,25.5701,68.0,83,0,14.97,ZA,1615525663
Pokhara,28.2333,83.9833,83.28,15,0,6.49,NP,1615525664
Hurricane,37.1753,-113.2899,41.0,87,90,4.61,US,1615525665
Guerrero Negro,27.9769,-114.0611,55.99,80,82,11.34,MX,1615525665
Pisco,-13.7,-76.2167,73.4,78,0,3.44,PE,1615525672
Kununurra,-15.7667,128.7333,93.2,59,40,11.5,AU,1615525673
Vao,-22.6667,167.4833,75.97,74,5,16.96,NC,1615525673
Pocatello,42.8713,-112.4455,30.99,46,1,6.91,US,1615525486
Aksu,41.1231,80.2644,58.19,23,100,3.02,CN,1615525676
Johnstown,40.3267,-78.922,53.01,87,90,13.8,US,1615525676
Sneek,53.033,5.6589,42.01,79,74,18.99,NL,1615525677
Bathsheba,13.2167,-59.5167,77.0,69,40,18.41,BB,1615525677
Chipinge,-20.1883,32.6236,63.12,91,47,3.98,ZW,1615525678
Imbituba,-28.24,-48.6703,69.8,94,0,5.75,BR,1615525678
Saint-Augustin,51.226,-58.6502,32.34,98,100,11.7,CA,1615525542
Buraidah,26.326,43.975,62.6,63,0,6.91,SA,1615525219
Ribeira Grande,38.5167,-28.7,56.55,79,100,12.71,PT,1615525682
Kapaa,22.0752,-159.319,77.0,88,90,11.5,US,1615525683
Fomboni,-12.28,43.7425,82.47,75,35,5.03,KM,1615525684
Atasū,48.6814,71.6433,16.92,90,100,4.47,KZ,1615525689
Castro,-24.7911,-50.0119,57.83,83,0,1.88,BR,1615525692
Peto,20.1333,-88.9167,70.72,88,7,3.62,MX,1615525692
Tomarovka,50.6834,36.2331,6.8,72,0,8.95,RU,1615525693
