City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.1927,168.8643,73.99,44,28,17.0,NZ,1615695560
Ilulissat,69.2167,-51.1,8.6,56,100,13.8,GL,1615695763
Albany,42.6001,-73.9662,33.01,50,1,5.14,US,1615695800
Aklavik,68.2191,-135.0107,-13.0,77,24,6.91,CA,1615695800
Punta Arenas,-53.15,-70.9167,44.01,65,0,3.44,CL,1615695801
Odienné,9.51,-7.5692,74.07,31,87,2.68,CI,1615695504
Prince Rupert,54.3161,-130.3201,33.8,86,90,5.75,CA,1615695803
Labuhan,-6.8844,112.2051,85.28,67,56,6.06,ID,1615695803
Ponta do Sol,32.6667,-17.1,57.99,71,100,1.01,PT,1615695804
Padang,-0.9492,100.3543,86.0,74,20,4.61,ID,1615695804
Mezen',65.8522,44.24,22.01,97,97,4.12,RU,1615695804
Barrow,71.2906,-156.7887,-5.8,65,1,13.8,US,1615695567
Busselton,-33.65,115.3333,72.0,48,0,5.01,AU,1615695805
Leh,34.1667,77.5833,25.12,51,69,2.62,IN,1615695805
Chokurdakh,70.6333,147.9167,-12.48,84,0,3.15,RU,1615695805
Chengzhong,30.95,113.55,68.0,60,8,6.71,CN,1615695806
Praia da Vitória,38.7333,-27.0667,60.01,100,75,22.5,PT,1615695807
Saint Anthony,45.0205,-93.218,45.0,70,1,4.9,US,1615695807
Rikitea,-23.1203,-134.9692,80.29,74,29,9.01,PF,1615695808
Bluff,-46.6,168.3333,73.0,44,33,18.99,NZ,1615695808
Cayenne,4.9333,-52.3333,75.99,100,75,13.35,GF,1615695808
Mount Gambier,-37.8333,140.7667,62.6,42,75,14.97,AU,1615695809
Comodoro Rivadavia,-45.8667,-67.5,51.8,87,0,13.51,AR,1615695809
Nikolskoye,59.7035,30.7861,35.6,87,75,6.71,RU,1615695810
Vaini,-21.2,-175.2,78.8,83,75,8.05,TO,1615695810
Cape Town,-33.9258,18.4232,66.2,72,75,10.36,ZA,1615695527
Avarua,-21.2078,-159.775,82.4,74,10,4.61,CK,1615695810
Manukan,8.5333,123.1,83.01,76,46,6.17,PH,1615695811
Thompson,55.7435,-97.8558,5.0,56,1,6.91,CA,1615695561
Katobu,-4.9408,122.5276,88.68,58,85,3.94,ID,1615695811
Jamestown,42.097,-79.2353,33.01,43,1,14.18,US,1615695523
Great Falls,47.5002,-111.3008,41.0,45,1,11.5,US,1615695812
Ambon City,-3.6954,128.1814,91.4,58,40,6.91,ID,1615695812
Ushuaia,-54.8,-68.3,42.8,65,40,11.5,AR,1615695813
Burns Lake,54.2331,-125.7533,44.6,57,100,4.61,CA,1615695813
Kapaa,22.0752,-159.319,73.0,88,90,23.02,US,1615695813
Ribeira Grande,38.5167,-28.7,61.65,87,99,28.72,PT,1615695525
Upernavik,72.7868,-56.1549,-5.12,96,100,2.51,GL,1615695646
Tromsø,69.6496,18.957,35.6,87,40,12.66,NO,1615695814
Puerto Ayora,-0.7393,-90.3518,75.99,94,98,4.45,EC,1615695814
Atuona,-9.8,-139.0333,79.59,63,30,6.26,PF,1615695815
Yulara,-25.2406,130.9889,73.4,43,90,16.11,AU,1615695815
Mehamn,71.0357,27.8492,22.55,86,100,6.51,NO,1615695815
Qaanaaq,77.484,-69.3632,-4.7,65,100,9.24,GL,1615695816
Saldanha,-33.0117,17.9442,64.4,82,100,5.75,ZA,1615695816
Nivala,63.9167,24.9667,30.0,93,92,4.09,FI,1615695547
Hithadhoo,-0.6,73.0833,83.95,69,27,10.76,MV,1615695816
Severo-Kuril'sk,50.6789,156.125,32.2,93,77,16.49,RU,1615695817
Belen,36.4891,36.2233,39.2,100,0,1.14,TR,1615695817
Fortuna,40.5982,-124.1573,48.0,81,90,4.61,US,1615695817
Klaksvík,62.2266,-6.589,41.0,87,40,25.32,FO,1615695818
Ormara,25.2088,64.6357,75.04,63,0,3.74,PK,1615695818
Hobart,-42.8794,147.3294,64.4,29,0,17.27,AU,1615695564
Nantucket,41.2835,-70.0995,39.0,63,4,16.96,US,1615695818
Chapais,49.7834,-74.8492,15.8,86,90,6.91,CA,1615695819
Fort Nelson,58.8053,-122.7002,1.4,78,90,6.91,CA,1615695819
Bolobo,-2.1667,16.2333,73.13,92,100,2.06,CD,1615695819
New Norfolk,-42.7826,147.0587,64.0,30,44,8.01,AU,1615695820
Constitución,-35.3333,-72.4167,54.93,91,16,3.76,CL,1615695820
Butaritari,3.0707,172.7902,80.91,80,85,11.83,KI,1615695820
Hilo,19.7297,-155.09,69.8,83,90,4.61,US,1615695821
Ixtapa,20.7,-105.2,71.01,83,1,3.33,MX,1615695821
Kloulklubed,7.0419,134.2556,84.2,74,75,4.61,PW,1615695821
Sechura,-5.5569,-80.8222,77.81,69,62,11.77,PE,1615695822
Hermanus,-34.4187,19.2345,63.0,95,99,5.19,ZA,1615695567
Mayumba,-3.432,10.6554,79.7,89,100,5.77,GA,1615695822
Mahébourg,-20.4081,57.7,80.6,83,40,16.11,MU,1615695823
Digras,20.1167,77.7167,89.17,12,0,7.76,IN,1615695823
Gol,60.7014,8.9457,15.01,92,75,2.55,NO,1615695823
Hofn,64.2539,-15.2082,35.08,62,100,8.25,IS,1615695823
Ukiah,39.1502,-123.2078,46.4,71,1,3.44,US,1615695824
Katsuura,35.1333,140.3,64.4,29,20,19.57,JP,1615695606
Walvis Bay,-22.9575,14.5053,63.0,88,26,5.75,NA,1615695824
Ariquemes,-9.9133,-63.0408,72.66,94,100,1.23,BR,1615695801
Bathsheba,13.2167,-59.5167,78.8,69,40,10.36,BB,1615695825
Carnarvon,-24.8667,113.6333,96.8,36,20,12.66,AU,1615695825
Torbay,47.6666,-52.7314,28.0,80,75,20.71,CA,1615695825
Saskylakh,71.9167,114.0833,-11.97,94,100,12.06,RU,1615695826
Eldorado,-23.7869,-54.2836,71.31,68,0,1.01,BR,1615695826
Port Alfred,-33.5906,26.891,69.01,85,52,1.99,ZA,1615695654
Matagami,49.7502,-77.6328,14.0,85,75,16.11,CA,1615695826
Lagoa,39.05,-27.9833,60.67,84,96,27.92,PT,1615695567
Tuktoyaktuk,69.4541,-133.0374,-11.2,84,90,9.22,CA,1615695827
College,64.8569,-147.8028,6.01,55,1,8.05,US,1615695646
Viedma,-40.8135,-62.9967,65.28,57,0,5.59,AR,1615695717
Bandarbeyla,9.4942,50.8122,78.42,73,94,9.48,SO,1615695828
Bengkulu,-3.8004,102.2655,84.47,64,81,6.64,ID,1615695828
Kashgar,39.4547,75.9797,51.8,28,75,6.71,CN,1615695828
Portland,45.5234,-122.6762,51.8,54,20,4.61,US,1615695797
Fairlie,55.756,-4.8556,41.0,89,41,7.0,GB,1615695829
São Filipe,14.8961,-24.4956,69.73,72,0,2.35,CV,1615695830
Paita,-5.0892,-81.1144,77.02,74,74,9.73,PE,1615695830
Hong Kong,22.2855,114.1577,72.0,82,77,3.0,HK,1615695601
Dikson,73.5069,80.5464,-22.67,96,100,14.88,RU,1615695831
Yellowknife,62.456,-114.3525,1.0,85,90,9.22,CA,1615695831
George Town,5.4112,100.3354,89.01,66,20,5.75,MY,1615695787
Bredy,52.4153,60.3411,5.29,75,2,4.12,RU,1615695832
Vardø,70.3705,31.1107,25.43,91,100,2.04,NO,1615695739
Geraldton,-28.7667,114.6,91.4,24,0,17.27,AU,1615695832
Airai,-8.9266,125.4092,72.09,80,59,1.1,TL,1615695833
Caucayá,-0.1934,-74.7819,72.09,95,100,1.92,CO,1615695834
Narsaq,60.9167,-46.05,26.6,63,75,2.3,GL,1615695834
Humberto de Campos,-2.5983,-43.4611,75.18,91,93,2.91,BR,1615695835
São Luís de Montes Belos,-16.525,-50.3722,69.22,91,100,1.3,BR,1615695835
Lompoc,34.6391,-120.4579,51.8,71,90,3.44,US,1615695836
Banepā,27.6298,85.5214,64.4,63,20,2.3,NP,1615695836
Mar del Plata,-38.0023,-57.5575,64.99,88,0,3.44,AR,1615695837
Gmina Szubin,53.0097,17.74,42.01,70,90,17.27,PL,1615695837
Craig,40.5153,-107.5464,33.8,93,90,3.29,US,1615695837
