City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
La Ronge,55.1001,-105.2842,28.4,37,100,6.91,CA,1615338286
Wellington,-41.2866,174.7756,66.2,77,75,27.63,NZ,1615338124
Kula,38.5473,28.6498,43.16,71,100,3.98,TR,1615338286
Jamestown,42.097,-79.2353,46.4,53,1,4.0,US,1615338043
Busselton,-33.65,115.3333,79.0,57,100,3.0,AU,1615338187
Malokaterynivka,47.6525,35.2539,26.19,87,0,6.51,UA,1615338287
Thompson,55.7435,-97.8558,21.2,42,40,3.44,CA,1615338075
East London,-33.0153,27.9116,70.74,69,0,5.19,ZA,1615338135
Bluff,-46.6,168.3333,61.0,78,75,10.0,NZ,1615338287
Manjacaze,-24.7117,33.8828,68.34,83,0,6.64,MZ,1615338288
Port Huron,42.9709,-82.4249,44.01,61,1,5.75,US,1615338288
Hermanus,-34.4187,19.2345,63.0,96,89,11.01,ZA,1615338288
